IDP	nh2	phi
IDP-25661	-3.00878428534246e-06	4.98625946106372e-05
IDP-25662	6.51911725624999e-07	5.35232906216047e-05
IDP-25663	2.59759656729154e-06	5.54689754632712e-05
IDP-25664	4.29955281537797e-06	5.71709317113576e-05
IDP-25665	1.97678575685499e-06	5.48481646528347e-05
IDP-25666	2.13216634294418e-09	5.28735110623226e-05
IDP-25667	-1.47595813609521e-06	5.13954207598845e-05
IDP-25668	1.1618559464207e-06	5.40332348424004e-05
IDP-25669	-3.50941451597388e-06	4.93619643800058e-05
IDP-25670	-3.72606577508587e-06	4.91453131208938e-05
IDP-25671	-2.38894954211621e-06	5.04824293538635e-05
IDP-25672	-2.92255872114062e-06	4.99488201748391e-05
IDP-25673	-2.22577721668736e-06	5.06456016792923e-05
IDP-25674	1.10219411123677e-06	5.39735730072164e-05
IDP-25675	-1.63339049969409e-06	5.12379883962856e-05
IDP-25676	-1.44871450934039e-06	5.14226643866393e-05
IDP-25677	1.89112876291696e-06	5.47625076588966e-05
IDP-25678	-2.73398081801871e-06	5.0137398077961e-05
IDP-25679	-2.85463736453778e-06	5.00167415314419e-05
IDP-25680	-2.49812701860296e-07	5.26215661941194e-05
IDP-25681	-1.66450231920224e-06	5.12068765767774e-05
IDP-25682	-1.11999019335144e-06	5.17513887026282e-05
IDP-25683	8.0436237695667e-06	6.09150026655464e-05
IDP-25684	4.75427390081674e-06	5.76256527967964e-05
IDP-25685	-6.26815081088858e-06	4.66032280850911e-05
IDP-25686	-5.41352045717283e-06	4.74578584388069e-05
IDP-25687	-1.16397045328643e-06	5.17074084426933e-05
IDP-25688	-1.15710075062314e-06	5.17142781453565e-05
IDP-25689	9.58287305422424e-07	5.38296662014021e-05
IDP-25690	3.49684137533262e-06	5.63682202713123e-05
IDP-25691	-2.06767521343692e-06	5.08037036825428e-05
IDP-25692	6.6986960659726e-07	5.35412485025769e-05
IDP-25693	9.91751867595645e-07	5.38631307635753e-05
IDP-25694	-1.18086399308688e-06	5.16905149028928e-05
IDP-25695	-2.47646247637033e-06	5.03949164196094e-05
IDP-25696	2.35898224526008e-06	5.52303611412398e-05
IDP-25697	5.44730891115608e-07	5.34161097870953e-05
IDP-25698	-1.86199515447407e-06	5.10093837415056e-05
IDP-25699	-1.07748938295843e-06	5.17938895130213e-05
IDP-25700	-3.10173781532372e-06	4.9769641080656e-05
IDP-25701	-5.10037546188406e-06	4.77710034340956e-05
IDP-25702	-3.48906153735718e-06	4.93823173586225e-05
IDP-25703	-3.44715700758006e-06	4.94242218883996e-05
IDP-25704	5.33962204689577e-07	5.34053411006693e-05
IDP-25705	3.84461153812438e-06	5.67159904341041e-05
IDP-25706	4.90710444694972e-06	5.77784833429294e-05
IDP-25707	-1.86874275709685e-06	5.10026361388828e-05
IDP-25708	8.16737134644183e-07	5.36881160306239e-05
IDP-25709	-2.19440133931308e-06	5.06769775566666e-05
IDP-25710	2.42906562803961e-06	5.53004445240193e-05
IDP-25711	-1.93011365117284e-06	5.09412652448069e-05
